CDSACCNO,precision@k,recall@k,num_test_items,portfolio_size,recommendations
BMS-13148-LI/00,0.1,1.0,1,11,"['LFIN', 'COMB', 'CTC', 'VFIN', 'HAYC', 'CSD', 'TKYO', 'RICH', 'TILE', 'SEYB']"
BMS-13322-LI/00,0.0,0.0,1,17,"['UML', 'KFP', 'DOCK', 'JKL', 'DIAL', 'LUMX', 'CTHR', 'SINI', 'CERA', 'SIL']"
BMS-13451-LI/00,0.0,0.0,1,31,"['CINV', 'AMF', 'ALLI', 'CCS', 'WAPO', 'RICH', 'MBSL', 'UAL', 'DFCC', 'PLC']"
BMS-13467-LI/00,0.0,0.0,1,20,"['REEF', 'DIAL', 'WAPO', 'RIL', 'RAL', 'EDEN', 'AMF', 'ACAP', 'PLR', 'RICH']"
BMS-13498-LI/00,0.0,0.0,1,17,"['AFS', 'BFN', 'ALLI', 'UAL', 'PEG', 'JINS', 'HVA', 'MASK', 'MBSL', 'PALM']"
BMS-13511-LI/00,0.0,0.0,1,17,"['AMF', 'AFS', 'TAP', 'CALT', 'JINS', 'WAPO', 'LOLC', 'LCBF', 'LVEF', 'UAL']"
BMS-13604-LI/00,0.0,0.0,1,35,"['AHPL', 'BFL', 'TAFL', 'CCS', 'SPEN', 'LION', 'GUAR', 'RENU', 'DIAL', 'SHOT']"
BMS-13755-LI/00,0.0,0.0,1,22,"['BFL', 'UDPL', 'LMF', 'LCEY', 'ALLI', 'CFVF', 'SLTL', 'CALT', 'KCAB', 'COCR']"
BMS-13758-LI/00,0.0,0.0,1,17,"['AMSL', 'IDL', 'HNB', 'CHL', 'COMB', 'MEL', 'UML', 'CCS', 'TAJ', 'BREW']"
BMS-13802-LI/00,0.0,0.0,1,15,"['LGL', 'CARS', 'SERV', 'BERU', 'AHPL', 'GHLL', 'TAFL', 'LPL', 'ACME', 'DFCC']"
BMS-13820-LI/00,0.1,1.0,1,10,"['CONN', 'REEF', 'LOLC', 'NIFL', 'JINS', 'LCEY', 'EDEN', 'HNB', 'RGEM', 'LHCL']"
BMS-13919-LC/00,0.0,0.0,1,40,"['GRAN', 'LCEY', 'BFL', 'GUAR', 'CWM', 'CINV', 'UDPL', 'ALLI', 'KGAL', 'LMF']"
BMS-13958-LI/00,0.0,0.0,1,40,"['CALT', 'CONN', 'AHUN', 'JINS', 'HPWR', 'DIAL', 'AHPL', 'KHL', 'CFVF', 'CCS']"
BMS-13997-LI/00,0.0,0.0,1,14,"['NIFL', 'WAPO', 'LCEY', 'BFN', 'UDPL', 'GRAN', 'LDEV', 'ALLI', 'HOPL', 'UML']"
BMS-14030-LI/00,0.0,0.0,1,26,"['SLTL', 'ASIY', 'LCEY', 'COCR', 'PLR', 'DIAL', 'VPEL', 'CFVF', 'AAIC', 'GLAS']"
BMS-14048-LI/00,0.0,0.0,1,49,"['HPFL', 'LUMX', 'RWSL', 'AFS', 'MCPL', 'CWM', 'UAL', 'CINS', 'EXT', 'PINS']"
BMS-14095-LI/00,0.0,0.0,1,10,"['AHPL', 'RHTL', 'CINV', 'GLAS', 'HASU', 'GUAR', 'AHUN', 'TAFL', 'HPWR', 'STAF']"
BMS-14119-LI/00,0.0,0.0,1,12,"['SFCL', 'CALF', 'CINS', 'CARG', 'CTHR', 'OFEQ', 'CTC', 'SIL', 'LPRT', 'CPRT']"
BMS-14177-LI/00,0.0,0.0,1,37,"['MDL', 'RFL', 'AFS', 'KHC', 'PEG', 'RWSL', 'HSIG', 'CINV', 'MRH', 'ACME']"
BMS-14348-LI/00,0.0,0.0,1,23,"['NDB', 'UAL', 'SHOT', 'DFCC', 'CALT', 'SEYB', 'ALLI', 'AHPL', 'MARA', 'LVEF']"
BMS-14373-LI/00,0.0,0.0,1,15,"['CTBL', 'RHL', 'ABL', 'LUMX', 'MADU', 'MDL', 'EXT', 'VLL', 'OSEA', 'HVA']"
BMS-14462-LI/00,0.0,0.0,1,35,"['AHPL', 'SWAD', 'LHL', 'CITH', 'PEG', 'RENU', 'BBH', 'RCH', 'TANG', 'TRAN']"
BMS-14483-LI/00,0.0,0.0,1,96,"['OFEQ', 'LPL', 'CTLD', 'SELI', 'MAL', 'ONAL', 'LAMB', 'CERA', 'CPRT', 'AFSL']"
BMS-14485-LI/00,0.0,0.0,1,75,"['GUAR', 'TRAN', 'COMD', 'CSD', 'LAMB', 'BPPL', 'BRR', 'AINS', 'PARA', 'PEG']"
BMS-14558-LI/00,0.0,0.0,1,14,"['AHPL', 'CHOT', 'HSIG', 'RHTL', 'NDB', 'DFCC', 'CFVF', 'TJL', 'GHLL', 'STAF']"
BMS-14562-LI/00,0.1,1.0,1,14,"['AHPL', 'SERV', 'LMF', 'KHL', 'DIAL', 'CCS', 'BBH', 'PEG', 'SLTL', 'CHOT']"
BMS-14627-LI/00,0.0,0.0,1,64,"['PINS', 'HASU', 'UAL', 'TAFL', 'AHPL', 'LUMX', 'AMF', 'JINS', 'BPPL', 'AFS']"
BMS-14631-LI/00,0.0,0.0,1,12,"['HOPL', 'AFS', 'RFL', 'RWSL', 'KAHA', 'CFLB', 'MAL', 'RCH', 'PALM', 'COCO']"
BMS-14639-LI/00,0.0,0.0,1,15,"['AAIC', 'LOLC', 'ACL', 'HOPL', 'BIL', 'MGT', 'LCEY', 'COCR', 'KOTA', 'CALT']"
BMS-14713-LI/00,0.0,0.0,1,25,"['PMB', 'MFL', 'WAPO', 'MBSL', 'BFN', 'KZOO', 'COCR', 'AFSL', 'AAF', 'HVA']"
BMS-14715-LI/00,0.0,0.0,1,18,"['CALT', 'AAIC', 'SLTL', 'HBS', 'COCR', 'HELA', 'GLAS', 'BUKI', 'MGT', 'LIOC']"
BMS-14751-LI/00,0.0,0.0,1,23,"['LMF', 'CTBL', 'AFS', 'CWM', 'TPL', 'CALT', 'AMF', 'TSML', 'GRAN', 'HPL']"
BMS-14775-LI/00,0.0,0.0,1,24,"['HPFL', 'GRAN', 'MCPL', 'CINS', 'LUMX', 'ONAL', 'BPPL', 'EXT', 'ALLI', 'CSD']"
BMS-14795-LI/00,0.0,0.0,1,10,"['HVA', 'ABL', 'BLUE', 'TAJ', 'REEF', 'LCBF', 'ACAP', 'ALHP', 'RAL', 'KHC']"
BMS-14797-LC/00,0.0,0.0,1,24,"['GHLL', 'CALT', 'SLTL', 'CFVF', 'LDEV', 'JETS', 'CHOT', 'MADU', 'MARA', 'FCT']"
BMS-14847-LI/00,0.0,0.0,1,14,"['GLAS', 'RHL', 'AHUN', 'CONN', 'KHL', 'VPEL', 'DIAL', 'RAL', 'COCO', 'SPEN']"
BMS-14878-LI/00,0.0,0.0,1,58,"['RWSL', 'HPFL', 'TSML', 'CSD', 'HPL', 'ONAL', 'EXT', 'AMF', 'MDL', 'LCBF']"
BMS-14880-LI/00,0.0,0.0,1,26,"['AFS', 'PEG', 'BRR', 'SIL', 'REEF', 'PARA', 'NIFL', 'SLND', 'PALM', 'SINH']"
BMS-14974-LI/00,0.0,0.0,1,19,"['RWSL', 'AMF', 'UAL', 'JINS', 'LMF', 'RICH', 'AFS', 'LCBF', 'ALLI', 'DIST']"
BMS-15005-LI/00,0.0,0.0,1,47,"['CINV', 'GUAR', 'JINS', 'AFS', 'AHPL', 'NTB', 'ALLI', 'UAL', 'PABC', 'CDB']"
BMS-15049-LI/00,0.0,0.0,1,20,"['KZOO', 'ALLI', 'AFS', 'BFN', 'COCR', 'LDEV', 'AAIC', 'SEMB', 'EXT', 'FCT']"
BMS-15071-LI/00,0.0,0.0,1,16,"['DIAL', 'COMB', 'CONN', 'DIPD', 'REEF', 'RCL', 'KOTA', 'SCAP', 'HNB', 'JINS']"
BMS-15183-LI/00,0.0,0.0,1,12,"['CALF', 'COMB', 'UDPL', 'MAL', 'CARG', 'SAMP', 'MCPL', 'COCR', 'NIFL', 'SFCL']"
BMS-15208-LI/00,0.0,0.0,1,14,"['HELA', 'ASIY', 'RAL', 'HHL', 'TJL', 'RIL', 'KHL', 'DIPD', 'SHOT', 'RWSL']"
BMS-15467-LI/00,0.0,0.0,1,13,"['HPFL', 'COCR', 'CALT', 'TAP', 'CFVF', 'TYRE', 'PINS', 'DIAL', 'LWL', 'PABC']"
BMS-15469-LI/00,0.0,0.0,1,15,"['LCEY', 'LDEV', 'GRAN', 'CFVF', 'HOPL', 'CALT', 'FCT', 'CIC', 'CCS', 'TPL']"
BMS-15492-LI/00,0.0,0.0,1,50,"['AFS', 'OFEQ', 'UDPL', 'WAPO', 'EXT', 'MDL', 'LCEY', 'GREG', 'GEST', 'CINV']"
BMS-15518-LI/00,0.0,0.0,1,29,"['JKL', 'BBH', 'KHL', 'SERV', 'AFS', 'AINS', 'RICH', 'LHL', 'KFP', 'LUMX']"
BMS-15519-LI/00,0.0,0.0,1,23,"['CONN', 'AMSL', 'PINS', 'SEYB', 'NDB', 'ASIR', 'KHL', 'CARG', 'AHUN', 'VPEL']"
BMS-15564-LI/00,0.0,0.0,1,41,"['ALLI', 'SPEN', 'SHAW', 'ELPL', 'LOLC', 'TAFL', 'HHL', 'AHPL', 'DIAL', 'CDB']"
BMS-15565-LI/00,0.0,0.0,1,16,"['TAFL', 'GRAN', 'BFL', 'OSEA', 'RWSL', 'CIND', 'BPPL', 'ASIY', 'DFCC', 'KGAL']"
BMS-15601-LI/00,0.0,0.0,1,36,"['LMF', 'ALLI', 'AMF', 'GRAN', 'SFCL', 'AFS', 'RWSL', 'VPEL', 'CINS', 'CALT']"
BMS-15603-LI/00,0.0,0.0,1,102,"['AFS', 'GUAR', 'TRAN', 'CABO', 'ASIR', 'DOCK', 'SHOT', 'AHPL', 'LVEN', 'SHAW']"
BMS-15627-LI/00,0.0,0.0,1,10,"['GHLL', 'HELA', 'ACAP', 'LOFC', 'COCR', 'SCAP', 'VFIN', 'PLR', 'JETS', 'BBH']"
BMS-15628-LI/00,0.0,0.0,1,11,"['COCR', 'ALLI', 'SFIN', 'RIL', 'VFIN', 'PLR', 'CINV', 'PINS', 'ACAP', 'CFIN']"
BMS-15630-LI/00,0.1,1.0,1,14,"['LDEV', 'HOPL', 'MASK', 'AAIC', 'KAHA', 'BOPL', 'LCEY', 'AFS', 'ODEL', 'UDPL']"
BMS-15632-LI/00,0.0,0.0,1,42,"['AFS', 'JINS', 'BBH', 'PEG', 'HSIG', 'CITH', 'LVEF', 'LHL', 'EAST', 'CHOT']"
BMS-15656-LI/00,0.0,0.0,1,45,"['HPWR', 'LUMX', 'TPL', 'GRAN', 'CTBL', 'CWL', 'HPFL', 'EAST', 'PLR', 'DIAL']"
